,nfe,epsilon_progress,hypervolume
0,0,0,0.0
1,100,9,0.7136920029667065
2,1195,71,0.9803852412596515
3,2291,115,0.9940797214055659
4,3387,154,0.9964396923787968
5,4484,172,0.9981921887508559
6,5579,182,0.99824300445098
7,6674,183,0.9982430044514263
8,7766,187,0.9983632116457217
9,8859,197,0.9984219522231021
10,9952,218,0.9992178994402261
11,10954,232,0.9992793411431948
12,11977,232,0.9992793411431948
13,12977,232,0.9992793411431948
14,13979,232,0.9992793411431948
15,14986,232,0.9992793411431948
16,15005,232,0.9992793411431948
