,nfe,epsilon_progress,hypervolume
0,0,0,0.0
1,100,15,0.7101527011817084
2,1196,72,0.9867260761821324
3,2291,136,0.9902217113228963
4,3389,191,0.9947976405948881
5,4480,227,0.9955317626082779
6,5574,248,0.9966518750402831
7,6654,267,0.998648515502312
8,7686,278,0.9988233461788835
9,8743,288,0.9988682592341833
10,9743,291,0.9991367120463195
11,10750,296,0.9991936858949816
12,11771,297,0.999194450262815
13,12782,297,0.999194450262815
14,13785,297,0.999194450262815
15,14791,297,0.999194450262815
16,15025,297,0.999194450262815
