Mean Damage,Mean Investment,Mean Deaths
8759201.15808573,9695195.36216505,0.0008836961168923934
7246809.9835086,8453407.69660805,0.0007199322368445615
7452228.814616937,7332080.219521776,0.0007263249441840486
9488011.210730108,6320800.309666244,0.0009078634454607844
8568721.54277889,0.0,0.000762048278062931
100655.27897008133,45963574.555975206,9.446282138326244e-06
457323.6895317657,42937984.04115809,4.5244020767780917e-05
496995.95483501843,41420297.72863446,0.00022034114633585298
1462658.584720667,40164687.96643335,0.00014577942020592115
1468004.2564427918,38647001.65390969,0.0001460727709517932
1500461.8163706874,37273425.32982028,0.00014736858433893235
1563882.7443325515,36031637.66426331,0.00014808852965476568
1813260.758562351,34910310.18717701,0.00015949762913953236
3484244.4226254816,34732409.44833876,0.00034702165433849277
