Mean Damage,Mean Investment,Mean Deaths
490324552.7786295,9695195.36216505,0.0400888677898052
489484761.78069776,8453407.696608048,0.0400044106229389
489484761.78069776,7332080.219521779,0.0400044106229389
489484761.78069776,6320800.309666242,0.0412438198421267
489484761.78069776,0.0,0.0400044106229389
73179151.22119826,45963574.5559752,0.0079361128051692
118809188.33874665,42937984.04115809,0.0101343946410262
118809188.33874665,41420297.72863445,0.0582599329316755
224574575.07339472,40164687.96643335,0.018821075963399603
224574575.07339472,38647001.6539097,0.018821075963399603
224574575.07339472,37273425.32982029,0.018821075963399603
224574575.07339472,36031637.66426329,0.018821075963399603
224574575.07339472,34910310.18717702,0.018821075963399603
333593890.06300825,34732409.44833878,0.0275387197146017
