,nfe,epsilon_progress,hypervolume
0,0,0,0.0
1,100,24,0.7519837688248033
2,1196,101,0.9492929576088966
3,2291,217,0.9970124325471296
4,3390,278,0.9979136933597264
5,4485,338,0.9983495107872522
6,5583,363,0.9984483981636958
7,6674,394,0.9985287784623456
8,7759,450,0.9991655181200152
9,8831,494,0.9993314058791174
10,9845,506,0.9993605564911325
11,10929,508,0.9993632235588735
12,11937,511,0.9993771973914483
13,12952,511,0.9993771973914483
14,13966,511,0.9993771973914483
15,15009,511,0.9993771973914483
