,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Damage Mean Statistic,Investment Mean Statistic,Deaths Mean Statistic
0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,1,6,0,0,4,0,0,0.0,45963574.55597519,0.0
1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4822811.341827047,0.0,0.0003013058079437504
2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,677480.6728303876,36031637.6642633,3.8544018558617956e-05
3,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2140096.711068651,12586457.998778107,0.00019521428667503845
4,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2109150.892960225,14261651.781499242,0.00019303297891526302
5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3660140.732915796,6320800.0,0.00025424948250834714
6,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1041573.8605452492,34910310.0,5.386231524295498e-05
7,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,469729.4767678271,37273425.0,2.953092033819803e-05
8,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1262837.1330732345,34732409.0,0.0001014090805067808
9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,203900.53926453233,38647001.0,1.7819941870010113e-05
10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2296948.7013485376,11068771.0,0.00021126121739144954
11,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,21486.27199898324,42937984.0,2.016482151121502e-06
12,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2982678.6427904884,7332080.0,0.00023132002257594166
13,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1834681.5168506564,32369294.0,0.00012574047541153775
14,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1470588.329135795,33490621.0,0.00011042217872720073
15,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2542513.4512821566,9695195.0,0.00021363634042467522
16,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2768698.432557175,8453407.0,0.00023177372529766292
17,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2272503.7440476473,12586457.0,0.00021013872203309132
18,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,179455.58196364145,40164687.0,1.66974465116519e-05
19,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,45931.2292998741,41420297.0,9.41693252843914e-06
