,nfe,epsilon_progress,hypervolume
0,0,0,0.0
1,100,12,0.7194962547329716
2,1192,87,0.9641199484051999
3,2286,188,0.997225808280153
4,3383,271,0.9980693123574459
5,4478,313,0.9986814886318061
6,5576,346,0.9990395840189119
7,6658,393,0.9993931182951924
8,7713,415,0.9994475761929845
9,8729,436,0.9994796344647419
10,9748,439,0.9994824390584475
11,10784,442,0.9994965370776939
12,11838,443,0.9994981502393226
13,12892,444,0.999499402611379
14,13956,444,0.999499402611379
15,15018,461,0.9994993585117967
