,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Damage Mean Statistic,Investment Mean Statistic,Deaths Mean Statistic
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,3,3,0,1,0,0,0,4,5,2,5,0,0,6,0,0,0.0,51342444.069978476,0.0
1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,3,0,2,1,0,0,0,3,0,3,5,0,0,5,0,0,9976.320651551569,47745447.526548974,1.3623576227893135e-06
2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,1,0,0,0,0,2,1,0,4,0,0,5,0,0,14963.379522245763,46371871.202459544,1.6709571874422876e-06
3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,1344196.0990435183,36672326.35204622,0.00011424547874647096
4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,1,0,0,0,0,0,1,2,4,0,0,4,0,0,421135.45372563705,43072311.919362135,5.3278397010656386e-05
5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,1,0,0,0,0,1,0,1,3,0,0,5,0,0,82470.04637745781,45130083.53690254,5.45507184489273e-06
6,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,2,3,0,0,4,0,0,488642.12058084906,41830524.253805146,5.706251166810682e-05
7,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,1,0,0,0,0,0,0,1,4,0,0,3,0,0,821958.3499221781,40046721.40454502,8.92435691721747e-05
8,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,1,0,0,0,0,0,0,3,4,0,0,6,0,0,4987.0588706941935,49968867.745889045,3.085995646529741e-07
9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,1,0,0,0,0,0,0,1,3,0,0,3,0,0,889465.0167773901,38804933.738988034,9.302768382962513e-05
10,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9203129.531022819,11068771.686254459,0.0009224285480889733
11,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,250123.87859786,44008756.05981626,1.3220286053520142e-05
12,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9275623.256748725,8453407.696608052,0.0009265212623110766
13,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9208116.589893512,9695195.362165052,0.0009227371476536262
14,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2020946.6201072037,30351526.042379975,0.0001419504026818521
15,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1620123.7239106628,33377116.55719709,0.00010598523052033377
16,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,656295.9528012513,40709196.77671887,6.482772587673423e-05
17,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,856445.6513603294,39697916.866863325,7.344259972357499e-05
18,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1213951.6497072717,36676675.84029448,5.437779069711968e-05
19,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9443277.088969126,7332080.219521777,0.000934286476519704
20,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,450273.57715693815,42997476.14996075,2.1835159900360903e-05
21,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9643426.787528204,6320800.309666245,0.0009429013503665447
22,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10544522.161479138,0.0,0.0009858691833713447
23,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3368449.286963508,27578229.967655238,0.00027316203604185903
24,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5650779.904630325,25037214.086173717,0.0004967073167521496
25,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1057118.8489977922,37683606.26190176,0.00010079289803825255
