,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Damage Mean Statistic,Investment Mean Statistic,Deaths Mean Statistic
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1916504.018098412,32369294.305695515,0.0001078638001557409
1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,1,6,0,0,2,0,0,312162.8686419274,40164687.96643335,2.3768282150266408e-05
2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,1,6,0,0,7,0,0,4,0,0,0.0,47638768.0,0.0
3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,858368.8362890029,36031637.0,4.271172637527555e-05
4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,2407273.6479390548,31358014.0,0.00014226708805442414
5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3604064.5251328037,8453407.0,0.00033071761604346116
6,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,630317.8803540017,37273425.0,3.5064985317970994e-05
7,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,1,0,0,0,0,0,0,0,6,0,0,4,0,0,30366.391423437257,45963574.0,1.1866582419851989e-06
8,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,1,7,0,0,3,0,0,100255.73709153535,44613177.0,8.20598435088852e-06
9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1115450.0009886615,34732409.44833878,8.369117945471352e-05
10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2264345.938109521,31358014.39583998,0.00012275605634413445
11,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4524909.506318661,6320800.0,0.00036213575187557745
12,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2666594.1496846387,30351526.0,9.636141779191819e-05
13,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3376013.5691978023,9695195.0,0.0003230708749861566
14,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,7,5,0,0,3,0,0,231640.44720814063,41420297.0,1.3180236921500086e-05
15,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,2,0,0,5,0,0,2,0,0,413181.1873350954,38647001.0,2.7555876478892773e-05
16,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2024197.4163573487,32369294.0,0.00011985283659493272
17,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1343500.956923663,33490621.0,9.13379205120181e-05
18,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,1,0,0,6,0,0,3,0,0,130622.1285149726,42937984.0,9.392642592873719e-06
19,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1259039.068599765,34732409.0,8.427259125265173e-05
20,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2904795.3369048745,12586457.998778107,0.0002909477917724471
21,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4170922.2106979145,7332080.219521777,0.0003342965999437238
22,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2825612.5063920035,14261651.781499242,0.00028467663962806875
23,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5272537.294567902,0.0,0.0003239702454882153
24,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3024003.143655032,11068771.686254459,0.0002954539276698876
